"configuration","trace","description"
"base_featureamp:trueplayer_bar:trueid3_title:trueprogress:trueskins:truefile_support:trueplayer_control:truereorder_playlist:truetitle_time:trueskip_track:trueclear_playlist:trueprogress_bar:truevolume_control:falseremove_track:truelight:truedark:falseshuffle_repeat:falseshow_cover:falseogg:falsemp3:truesave_load_playlist:falseload_folder:truequeue_track:falsemute:falseplaylist:true","	at org.junit.Assert.fail(Assert.java:86)","showtimeTest(testset.AppGUITest)"
"base_featureamp:trueplayer_bar:trueid3_title:trueprogress:trueskins:truefile_support:trueplayer_control:truereorder_playlist:truetitle_time:trueskip_track:falseclear_playlist:falseprogress_bar:truevolume_control:falseremove_track:truelight:truedark:falseshuffle_repeat:trueshow_cover:falseogg:falsemp3:truesave_load_playlist:falseload_folder:truequeue_track:falsemute:falseplaylist:true","	at org.junit.Assert.fail(Assert.java:86)","showtimeTest(testset.AppGUITest)"
"base_featureamp:trueplayer_bar:trueid3_title:trueprogress:trueskins:truefile_support:trueplayer_control:truereorder_playlist:truetitle_time:trueskip_track:falseclear_playlist:trueprogress_bar:truevolume_control:falseremove_track:truelight:truedark:falseshuffle_repeat:trueshow_cover:falseogg:falsemp3:truesave_load_playlist:falseload_folder:truequeue_track:falsemute:falseplaylist:true","	at org.junit.Assert.fail(Assert.java:86)","showtimeTest(testset.AppGUITest)"
"base_featureamp:trueplayer_bar:trueid3_title:trueprogress:trueskins:truefile_support:trueplayer_control:truereorder_playlist:truetitle_time:trueskip_track:falseclear_playlist:falseprogress_bar:truevolume_control:falseremove_track:truelight:truedark:falseshuffle_repeat:falseshow_cover:falseogg:falsemp3:truesave_load_playlist:falseload_folder:truequeue_track:falsemute:falseplaylist:true","	at org.junit.Assert.fail(Assert.java:86)","showtimeTest(testset.AppGUITest)"
"base_featureamp:trueplayer_bar:trueid3_title:trueprogress:trueskins:truefile_support:trueplayer_control:truereorder_playlist:truetitle_time:trueskip_track:falseclear_playlist:trueprogress_bar:truevolume_control:falseremove_track:truelight:truedark:falseshuffle_repeat:falseshow_cover:falseogg:falsemp3:truesave_load_playlist:falseload_folder:truequeue_track:falsemute:falseplaylist:true","	at org.junit.Assert.fail(Assert.java:86)","showtimeTest(testset.AppGUITest)"
"base_featureamp:trueplayer_bar:trueid3_title:trueprogress:trueskins:truefile_support:trueplayer_control:truereorder_playlist:truetitle_time:trueskip_track:trueclear_playlist:falseprogress_bar:truevolume_control:falseremove_track:falselight:truedark:falseshuffle_repeat:trueshow_cover:falseogg:falsemp3:truesave_load_playlist:falseload_folder:truequeue_track:falsemute:falseplaylist:true","	at org.junit.Assert.fail(Assert.java:86)","showtimeTest(testset.AppGUITest)"
"base_featureamp:trueplayer_bar:trueid3_title:trueprogress:trueskins:truefile_support:trueplayer_control:truereorder_playlist:truetitle_time:trueskip_track:trueclear_playlist:falseprogress_bar:truevolume_control:falseremove_track:falselight:truedark:falseshuffle_repeat:falseshow_cover:falseogg:falsemp3:truesave_load_playlist:falseload_folder:truequeue_track:falsemute:falseplaylist:true","	at org.junit.Assert.fail(Assert.java:86)","showtimeTest(testset.AppGUITest)"
"base_featureamp:trueplayer_bar:trueid3_title:trueprogress:trueskins:truefile_support:trueplayer_control:truereorder_playlist:truetitle_time:trueskip_track:falseclear_playlist:falseprogress_bar:truevolume_control:falseremove_track:falselight:truedark:falseshuffle_repeat:trueshow_cover:falseogg:falsemp3:truesave_load_playlist:falseload_folder:truequeue_track:falsemute:falseplaylist:true","	at org.junit.Assert.fail(Assert.java:86)","showtimeTest(testset.AppGUITest)"
"base_featureamp:trueplayer_bar:trueid3_title:trueprogress:trueskins:truefile_support:trueplayer_control:truereorder_playlist:truetitle_time:trueskip_track:falseclear_playlist:falseprogress_bar:truevolume_control:falseremove_track:falselight:truedark:falseshuffle_repeat:falseshow_cover:falseogg:falsemp3:truesave_load_playlist:falseload_folder:truequeue_track:falsemute:falseplaylist:true","	at org.junit.Assert.fail(Assert.java:86)","showtimeTest(testset.AppGUITest)"
"base_featureamp:trueplayer_bar:trueid3_title:trueprogress:trueskins:truefile_support:trueplayer_control:truereorder_playlist:falsetitle_time:trueskip_track:trueclear_playlist:falseprogress_bar:truevolume_control:falseremove_track:truelight:truedark:falseshuffle_repeat:trueshow_cover:falseogg:falsemp3:truesave_load_playlist:falseload_folder:truequeue_track:falsemute:falseplaylist:true","	at org.junit.Assert.fail(Assert.java:86)","showtimeTest(testset.AppGUITest)"
"base_featureamp:trueplayer_bar:trueid3_title:trueprogress:trueskins:truefile_support:trueplayer_control:truereorder_playlist:falsetitle_time:trueskip_track:trueclear_playlist:trueprogress_bar:truevolume_control:falseremove_track:truelight:truedark:falseshuffle_repeat:trueshow_cover:falseogg:falsemp3:truesave_load_playlist:falseload_folder:truequeue_track:falsemute:falseplaylist:true","	at org.junit.Assert.fail(Assert.java:86)","showtimeTest(testset.AppGUITest)"
"base_featureamp:trueplayer_bar:trueid3_title:trueprogress:trueskins:truefile_support:trueplayer_control:truereorder_playlist:falsetitle_time:trueskip_track:trueclear_playlist:falseprogress_bar:truevolume_control:falseremove_track:truelight:truedark:falseshuffle_repeat:falseshow_cover:falseogg:falsemp3:truesave_load_playlist:falseload_folder:truequeue_track:falsemute:falseplaylist:true","	at org.junit.Assert.fail(Assert.java:86)","showtimeTest(testset.AppGUITest)"
"base_featureamp:trueplayer_bar:trueid3_title:trueprogress:trueskins:truefile_support:trueplayer_control:truereorder_playlist:falsetitle_time:trueskip_track:trueclear_playlist:trueprogress_bar:truevolume_control:falseremove_track:truelight:truedark:falseshuffle_repeat:falseshow_cover:falseogg:falsemp3:truesave_load_playlist:falseload_folder:truequeue_track:falsemute:falseplaylist:true","	at org.junit.Assert.fail(Assert.java:86)","showtimeTest(testset.AppGUITest)"
"base_featureamp:trueplayer_bar:trueid3_title:trueprogress:trueskins:truefile_support:trueplayer_control:truereorder_playlist:falsetitle_time:trueskip_track:falseclear_playlist:falseprogress_bar:truevolume_control:falseremove_track:truelight:truedark:falseshuffle_repeat:trueshow_cover:falseogg:falsemp3:truesave_load_playlist:falseload_folder:truequeue_track:falsemute:falseplaylist:true","	at org.junit.Assert.fail(Assert.java:86)","showtimeTest(testset.AppGUITest)"
"base_featureamp:trueplayer_bar:trueid3_title:trueprogress:trueskins:truefile_support:trueplayer_control:truereorder_playlist:falsetitle_time:trueskip_track:falseclear_playlist:trueprogress_bar:truevolume_control:falseremove_track:truelight:truedark:falseshuffle_repeat:trueshow_cover:falseogg:falsemp3:truesave_load_playlist:falseload_folder:truequeue_track:falsemute:falseplaylist:true","	at org.junit.Assert.fail(Assert.java:86)","showtimeTest(testset.AppGUITest)"
"base_featureamp:trueplayer_bar:trueid3_title:trueprogress:trueskins:truefile_support:trueplayer_control:truereorder_playlist:falsetitle_time:trueskip_track:falseclear_playlist:falseprogress_bar:truevolume_control:falseremove_track:truelight:truedark:falseshuffle_repeat:falseshow_cover:falseogg:falsemp3:truesave_load_playlist:falseload_folder:truequeue_track:falsemute:falseplaylist:true","	at org.junit.Assert.fail(Assert.java:86)","showtimeTest(testset.AppGUITest)"
"base_featureamp:trueplayer_bar:trueid3_title:trueprogress:trueskins:truefile_support:trueplayer_control:truereorder_playlist:falsetitle_time:trueskip_track:falseclear_playlist:trueprogress_bar:truevolume_control:falseremove_track:truelight:truedark:falseshuffle_repeat:falseshow_cover:falseogg:falsemp3:truesave_load_playlist:falseload_folder:truequeue_track:falsemute:falseplaylist:true","	at org.junit.Assert.fail(Assert.java:86)","showtimeTest(testset.AppGUITest)"
"base_featureamp:trueplayer_bar:trueid3_title:trueprogress:trueskins:truefile_support:trueplayer_control:truereorder_playlist:falsetitle_time:trueskip_track:trueclear_playlist:falseprogress_bar:truevolume_control:falseremove_track:falselight:truedark:falseshuffle_repeat:trueshow_cover:falseogg:falsemp3:truesave_load_playlist:falseload_folder:truequeue_track:falsemute:falseplaylist:true","	at org.junit.Assert.fail(Assert.java:86)","showtimeTest(testset.AppGUITest)"
"base_featureamp:trueplayer_bar:trueid3_title:trueprogress:trueskins:truefile_support:trueplayer_control:truereorder_playlist:falsetitle_time:trueskip_track:trueclear_playlist:falseprogress_bar:truevolume_control:falseremove_track:falselight:truedark:falseshuffle_repeat:falseshow_cover:falseogg:falsemp3:truesave_load_playlist:falseload_folder:truequeue_track:falsemute:falseplaylist:true","	at org.junit.Assert.fail(Assert.java:86)","showtimeTest(testset.AppGUITest)"
"base_featureamp:trueplayer_bar:trueid3_title:trueprogress:trueskins:truefile_support:trueplayer_control:truereorder_playlist:falsetitle_time:trueskip_track:falseclear_playlist:falseprogress_bar:truevolume_control:falseremove_track:falselight:truedark:falseshuffle_repeat:trueshow_cover:falseogg:falsemp3:truesave_load_playlist:falseload_folder:truequeue_track:falsemute:falseplaylist:true","	at org.junit.Assert.fail(Assert.java:86)","showtimeTest(testset.AppGUITest)"
